start_time,end_time,quality
2025-01-01 23:00:00,2025-01-02 05:27:00,Restless
2025-01-02 23:00:00,2025-01-03 06:07:00,Restless
2025-01-03 22:48:00,2025-01-04 05:30:00,Restless
2025-01-04 23:03:00,2025-01-05 06:42:00,Restless
2025-01-05 23:00:00,2025-01-06 06:56:00,Fair
2025-01-06 23:16:00,2025-01-07 07:10:00,Restless
2025-01-07 23:17:00,2025-01-08 06:47:00,Good
2025-01-08 22:24:00,2025-01-09 06:51:00,Good
2025-01-09 22:52:00,2025-01-10 06:28:00,Good
2025-01-10 23:01:00,2025-01-11 06:01:00,Good
2025-01-11 23:24:00,2025-01-12 06:50:00,Restless
2025-01-12 23:18:00,2025-01-13 06:34:00,Fair
2025-01-13 22:39:00,2025-01-14 06:48:00,Restless
2025-01-14 22:37:00,2025-01-15 06:30:00,Fair
