start_time,end_time,quality
2025-01-01 22:46:00,2025-01-02 06:15:00,Good
2025-01-02 23:00:00,2025-01-03 07:41:00,Good
2025-01-03 22:43:00,2025-01-04 06:43:00,Restless
2025-01-04 22:58:00,2025-01-05 06:35:00,Good
2025-01-05 22:58:00,2025-01-06 06:22:00,Restless
2025-01-06 22:45:00,2025-01-07 07:10:00,Restless
2025-01-07 22:58:00,2025-01-08 07:32:00,Fair
2025-01-08 22:57:00,2025-01-09 07:04:00,Good
2025-01-09 23:00:00,2025-01-10 06:43:00,Fair
2025-01-10 23:08:00,2025-01-11 06:18:00,Good
2025-01-11 22:53:00,2025-01-12 05:37:00,Fair
2025-01-12 23:14:00,2025-01-13 05:58:00,Good
2025-01-13 22:55:00,2025-01-14 06:01:00,Restless
2025-01-14 23:05:00,2025-01-15 06:40:00,Restless
