start_time,end_time,quality
2025-01-01 22:45:00,2025-01-02 06:03:00,Restless
2025-01-02 23:25:00,2025-01-03 06:29:00,Fair
2025-01-03 23:02:00,2025-01-04 06:32:00,Fair
2025-01-04 22:58:00,2025-01-05 05:41:00,Fair
2025-01-05 22:43:00,2025-01-06 06:37:00,Restless
2025-01-06 22:43:00,2025-01-07 05:44:00,Good
2025-01-07 23:10:00,2025-01-08 06:09:00,Restless
2025-01-08 23:27:00,2025-01-09 06:35:00,Fair
2025-01-09 22:56:00,2025-01-10 06:09:00,Fair
2025-01-10 23:11:00,2025-01-11 06:32:00,Fair
2025-01-11 22:50:00,2025-01-12 06:14:00,Good
2025-01-12 22:28:00,2025-01-13 06:10:00,Restless
2025-01-13 22:47:00,2025-01-14 06:48:00,Good
2025-01-14 23:07:00,2025-01-15 06:46:00,Restless
