start_time,end_time,quality
2025-01-01 22:55:00,2025-01-02 07:06:00,Restless
2025-01-02 23:01:00,2025-01-03 07:07:00,Fair
2025-01-03 23:18:00,2025-01-04 06:03:00,Fair
2025-01-04 22:47:00,2025-01-05 07:04:00,Fair
2025-01-05 23:05:00,2025-01-06 05:55:00,Restless
2025-01-06 22:50:00,2025-01-07 06:53:00,Restless
2025-01-07 22:12:00,2025-01-08 06:38:00,Fair
2025-01-08 22:32:00,2025-01-09 06:25:00,Good
2025-01-09 23:00:00,2025-01-10 06:23:00,Fair
2025-01-10 22:50:00,2025-01-11 06:58:00,Restless
2025-01-11 23:16:00,2025-01-12 06:17:00,Restless
2025-01-12 22:34:00,2025-01-13 06:12:00,Restless
2025-01-13 23:27:00,2025-01-14 06:06:00,Good
2025-01-14 22:51:00,2025-01-15 06:21:00,Good
