start_time,end_time,quality
2025-01-01 22:57:00,2025-01-02 06:03:00,Fair
2025-01-02 22:48:00,2025-01-03 07:35:00,Restless
2025-01-03 23:57:00,2025-01-04 06:41:00,Fair
2025-01-04 23:01:00,2025-01-05 06:47:00,Restless
2025-01-05 22:59:00,2025-01-06 06:03:00,Restless
2025-01-06 23:08:00,2025-01-07 07:25:00,Restless
2025-01-07 23:38:00,2025-01-08 05:37:00,Fair
2025-01-08 23:17:00,2025-01-09 06:32:00,Fair
2025-01-09 23:26:00,2025-01-10 06:28:00,Fair
2025-01-10 23:15:00,2025-01-11 07:05:00,Restless
2025-01-11 22:45:00,2025-01-12 06:57:00,Fair
2025-01-12 23:38:00,2025-01-13 06:41:00,Fair
2025-01-13 23:01:00,2025-01-14 06:42:00,Good
2025-01-14 23:07:00,2025-01-15 06:40:00,Good
